제목,기관명,표준직무(NCS),고용형태,대체인력여부,채용구분,공고기간,학력정보,근무지,채용인원,원문URL,등록일,마감일,상태
(25-0-18) KPS개발사업 특수사업직 4차 채용공고,한국항공우주연구원,연구,비정규직,아니오,신입+경력,2025.10.01~2025.10.15,석사,대전,9명,https://kari.recruitment.kr/,2025.10.01,2025.10.15,진행중
(25-0-17) 무인이동체원천기술개발사업단 특수사업직 채용공고,한국항공우주연구원,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.01~2025.10.15,대졸(4년),대전,1명,https://kari.recruitment.kr/,2025.10.01,2025.10.15,진행중
(25-0-15) 2025년도 4분기 1차 별정직 채용공고,한국항공우주연구원,사업관리/경영.회계.사무/운전.운송/전기.전자/정보통신/연구,비정규직,예,신입+경력,2025.10.01~2025.10.15,학력무관/대졸(4년)/석사,대전/전남/제주,8명,https://kari.recruitment.kr/,2025.10.01,2025.10.15,진행중
[한국직업능력연구원] 2025년도 제7차 기간제계약직(휴직자 대체 및 사업운영직) 채용 공고,한국직업능력연구원,사업관리/연구,비정규직,예,신입,2025.10.01~2025.10.15,대졸(4년)/석사,세종,3명,https://krivet.recruiter.co.kr/appsite/company/index,2025.10.01,2025.10.15,진행중
[한국직업능력연구원] 2025년도 제3차 직원(박사급 연구인력) 채용 공고,한국직업능력연구원,연구,정규직,아니오,신입,2025.10.01~2025.10.21,박사,세종,6명,https://krivet.recruiter.co.kr/appsite/company/index,2025.10.01,2025.10.21,진행중
2025년 창업진흥원 제2차 신규직원(정규·무기) 및 전문계약직 채용 공고,창업진흥원,사업관리/경영.회계.사무/정보통신,무기계약직/비정규직/정규직,아니오,신입+경력,2025.10.01~2025.10.21,학력무관/고졸/박사,서울/세종,9명,https://www.kised.or.kr/board.es?mid=a10304000000&bid=0014&act=view&list_no=4293&tag=&nPage=1,2025.10.01,2025.10.21,진행중
국립공원공단 일반직 2급(환경분야 전문직위) 채용 공고,국립공원공단,환경.에너지.안전,정규직,아니오,경력,2025.10.01~2025.10.16,학력무관,서울/대전/대구/광주/경기/강원/충남/충북/경북/경남/전남/전북,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018123,2025.10.01,2025.10.16,진행중
스포츠윤리센터 2025년 제4차 직원 채용공고,스포츠윤리센터,경영.회계.사무/법률.경찰.소방.교도.국방,비정규직/정규직,아니오,신입+경력,2025.10.01~2025.10.16,학력무관,서울/경기,9명,https://k-sec.fairyhr.com,2025.10.01,2025.10.16,진행중
[한국직업능력연구원] 2025년도 제4차 직원(전문연구원) 채용 공고(국제개발협력 분야),한국직업능력연구원,사업관리/연구,정규직,아니오,경력,2025.10.01~2025.10.17,석사,세종,1명,https://krivet.recruiter.co.kr/appsite/company/index,2025.10.01,2025.10.17,진행중
한국투자공사 2025년 제4차 경력직원 채용,한국투자공사,경영.회계.사무/금융.보험/교육.자연.사회과학/정보통신,정규직,아니오,경력,2025.10.01~2025.10.29,학력무관,서울,10명,https://kic.kr/ko/careers/recruit/o9jmy3,2025.10.01,2025.10.29,진행중
[국립공원연구원] 기간제(한시인력) 제한경쟁 채용 재공고,국립공원공단,경영.회계.사무,비정규직,아니오,신입,2025.10.01~2025.10.10,학력무관,강원,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018119,2025.10.01,2025.10.10,진행중
2025년 4차 항공안전기술원 직원 채용 공고(기간제근로자),항공안전기술원,사업관리/경영.회계.사무/운전.운송/기계/환경.에너지.안전,비정규직,예,신입+경력,2025.10.01~2025.10.17,고졸/대졸(2~3년)/대졸(4년)/석사/박사,서울/인천/경기/전남,19명,https://bit.ly/4pMQqAE,2025.10.01,2025.10.17,진행중
[내장산백암] 내장산국립공원백암사무소 기간제(환경관리) 직원 채용 공고,국립공원공단,경비.청소,비정규직,아니오,신입+경력,2025.10.01~2025.10.13,학력무관,전남,5명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018121,2025.10.01,2025.10.13,진행중
(재)한국장기조직기증원 2025년 제4차 공개채용,재단법인 한국장기조직기증원,사업관리/경영.회계.사무/보건.의료,무기계약직/비정규직/정규직,예,신입+경력,2025.10.01~2025.10.15,학력무관/고졸/대졸(4년),서울,6명,https://koda1458.kr/newKoda/notice.do?csrf_token=&currentPage=1&searchKey=&idx=614&method=view&optionStr=2&searchKeySelect=&searchValue=,2025.10.01,2025.10.15,진행중
[세계김치연구소] 2025년 제5차 직원 채용 공고,세계김치연구소,경비.청소/건설/기계/환경.에너지.안전,무기계약직/정규직,아니오,신입+경력,2025.10.01~2025.10.23,학력무관,광주,2명,https://www.wikim.re.kr/board.es?mid=a10403020000&bid=0010&act=view&list_no=4634,2025.10.01,2025.10.23,진행중
2025년 한국도로공사 순찰직(안전순찰원) 인재영입 공고 [취업지원대상자 보훈전형],한국도로공사,운전.운송,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,경기,2명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
[정선병원] 기간제 의사(응급의학과) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.10.01~2025.10.15,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.01,2025.10.15,진행중
2025년 한국도로공사 순찰직(안전순찰원) 인재영입 공고 [일반전형],한국도로공사,운전.운송,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,경기/강원/충북,4명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
[인천병원] 의료직 4급(약사) 채용 공고,근로복지공단,보건.의료,정규직,아니오,신입,2025.10.01~2025.10.13,학력무관,인천,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.01,2025.10.13,진행중
[인천병원] 기간제(사무원) 채용 공고,근로복지공단,경영.회계.사무/보건.의료,비정규직,예,신입,2025.10.01~2025.10.13,학력무관,인천,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.01,2025.10.13,진행중
2025년 한국도로공사 실무직(상황관리원) 인재영입 공고 [취업지원대상자 보훈전형],한국도로공사,환경.에너지.안전,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,경북/전남,2명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
[태백병원] 기간제(작업치료사) 채용 공고,근로복지공단,보건.의료,비정규직,예,신입,2025.10.01~2025.10.10,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.01,2025.10.10,진행중
2025년 한국도로공사 실무직(상황관리원) 인재영입 공고 [일반전형],한국도로공사,환경.에너지.안전,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,경기/경북,3명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
[순천병원] 기간제 의사(내과) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.10.01~2025.10.13,학력무관,전남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.01,2025.10.13,진행중
2025년 한국도로공사 실무직(도로관리원) 인재영입 공고 [취업지원대상자 보훈전형],한국도로공사,경비.청소,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,강원/충남/충북/경남/전북,5명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
2025년 한국도로공사 실무직(도로관리원) 인재영입 공고 [사회형평_자립준비청년 전형],한국도로공사,경비.청소,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,경기/경북,3명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
2025년 한국도로공사 실무직(도로관리원) 인재영입 공고 [일반전형],한국도로공사,경비.청소,무기계약직,아니오,신입,2025.10.01~2025.10.15,학력무관,대구/울산/경기/강원/충북/경북/경남/전북,15명,https://www.ex.co.kr,2025.10.01,2025.10.15,진행중
2025년도 별정직(사내변호사) 채용공고,한국항공우주연구원,경영.회계.사무/법률.경찰.소방.교도.국방,비정규직,아니오,신입+경력,2025.10.01~2025.10.27,학력무관,대전,1명,https://kari.fairy.im/announcement,2025.10.01,2025.10.27,진행중
대한적십자사 본사 비정규직(기간제) 채용공고(세무사_ 사무보조원),대한적십자사,경영.회계.사무,비정규직,아니오,신입+경력,2025.10.01~2025.10.22,학력무관,서울,1명,https://www.redcross.or.kr/recruit,2025.10.01,2025.10.22,진행중
한국연구재단 PM(원자력단장) 초빙 공고 ,한국연구재단,사업관리,비정규직,아니오,신입+경력,2025.10.01~2025.10.22,석사/박사,대전,1명,https://www.nrf.re.kr/page/55?ac=view&searchType=&searchText=&pageNum=1&menuNo=55&boardNo=8&menuTypeCd=MENU_TYPE_02&postNo=252089,2025.10.01,2025.10.22,진행중
2025년 제3차 한국청소년활동진흥원 직원(기간제) 채용 공고,한국청소년활동진흥원,경영.회계.사무/정보통신,비정규직,예,신입,2025.10.01~2025.10.22,학력무관,서울,1명,https://www.kywa.or.kr/about/about05_5_view.jsp?bgubun=&currPage=1&searchText=&searchColumn=&searchTextEn=&bgubun=&no=35556,2025.10.01,2025.10.22,진행중
2025년 제3차 한국청소년활동진흥원 직원(일반직_ 공무직) 채용 공고,한국청소년활동진흥원,경영.회계.사무/교육.자연.사회과학/보건.의료/사회복지.종교/이용.숙박.여행.오락.스포츠/음식서비스,무기계약직/정규직,아니오,신입+경력,2025.10.01~2025.10.22,학력무관,서울/강원/충남/경북/전남/전북,20명,https://www.kywa.or.kr/about/about05_5_view.jsp?bgubun=&currPage=1&searchText=&searchColumn=&searchTextEn=&bgubun=&no=35558,2025.10.01,2025.10.22,진행중
2025년도 국토안전관리원 제2차 직무 중심 직원 채용 공고,국토안전관리원,사업관리/경영.회계.사무/법률.경찰.소방.교도.국방/운전.운송/건설/정보통신,무기계약직/청년인턴(채용형)/정규직,아니오,신입+경력,2025.10.01~2025.10.17,학력무관/고졸,광주/경기/강원/충북/경북/경남/전남/전북,43명,https://www.kalis.or.kr/www/brd/m_630/view.do?seq=303&srchFr=&srchTo=&srchWord=&srchTp=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&p_stat=&p_itmseq1=,2025.10.01,2025.10.17,진행중
2025년 KOTRA 행정직 신입사원 채용 공고,대한무역투자진흥공사,경영.회계.사무,정규직,아니오,신입,2025.10.01~2025.10.17,고졸,서울,4명,http://kotra.careerlink.kr/,2025.10.01,2025.10.17,진행중
[세종] 2025년 10월 계약직 및 업무지원계약직(장애인) 직원 채용공고,충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,세종,2명,https://cnuhinsa.recruiter.co.kr/career/home,2025.10.01,2025.10.15,진행중
[세종] 2025년 10월 계약직 및 보조금계약직 직원 채용공고,충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,세종,3명,https://cnuhinsa.recruiter.co.kr/career/home,2025.10.01,2025.10.15,진행중
한국문화진흥(주) 뉴서울컨트리클럽 직원 채용 재공고(레스토랑_ 주방찬모)	,한국문화진흥주식회사,이용.숙박.여행.오락.스포츠/음식서비스,정규직,아니오,신입,2025.10.01~2025.10.12,학력무관,경기,3명,https://www.newseoulgolf.co.kr/board/list16.asp,2025.10.01,2025.10.12,진행중
서울올림픽기념국민체육진흥공단 골프장프런트(지원직) 채용공고,서울올림픽기념국민체육진흥공단,이용.숙박.여행.오락.스포츠,무기계약직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,강원,1명,https://kspo.or.kr/kspo/singl/empmn/view.do?empmnId=711&menuNo=200186&pageIndex=1,2025.10.01,2025.10.15,진행중
[세종] 2025년 계약직 전문의(중재적시술분야) 상시모집공고,충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.01~2026.12.31,학력무관,세종,1명,https://cnuhinsa.recruiter.co.kr/career/jobs/85872,2025.10.01,2026.12.31,진행중
서울올림픽기념국민체육진흥공단 아나운서(전임직) 채용공고,서울올림픽기념국민체육진흥공단,문화.예술.디자인.방송,무기계약직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,경기,1명,https://kspo.or.kr/kspo/singl/empmn/view.do?empmnId=710&menuNo=200186&pageIndex=1,2025.10.01,2025.10.15,진행중
2025년 하반기 KOTRA 전문직 채용 공고,대한무역투자진흥공사,경영.회계.사무/환경.에너지.안전,정규직,아니오,신입+경력,2025.10.01~2025.10.17,학력무관,서울,2명,http://kotra.careerlink.kr,2025.10.01,2025.10.17,진행중
2025년 한국환경공단 하반기 전문임기제 채용 연장공고(수의사_ 변호사),한국환경공단,경영.회계.사무/법률.경찰.소방.교도.국방/보건.의료/환경.에너지.안전,비정규직,아니오,경력,2025.10.01~2025.10.12,학력무관,인천,2명,https://www.keco.or.kr/web/lay1/bbs/S1T1205C1207/A/22/view.do?article_seq=85276&cpage=1&rows=10&condition=&keyword=,2025.10.01,2025.10.12,진행중
서울올림픽기념국민체육진흥공단 방송기사(전임직) 채용공고,서울올림픽기념국민체육진흥공단,정보통신,무기계약직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,경기,4명,https://kspo.or.kr/kspo/singl/empmn/view.do?empmnId=709&menuNo=200186&pageIndex=1,2025.10.01,2025.10.15,진행중
서울올림픽기념국민체육진흥공단 청소년지도사(기간제 전임직) 육아휴직 대체자 채용공고,서울올림픽기념국민체육진흥공단,사회복지.종교,비정규직,예,신입+경력,2025.10.01~2025.10.15,학력무관,서울,1명,https://kspo.or.kr/kspo/singl/empmn/view.do?empmnId=708&menuNo=200186&pageIndex=1,2025.10.01,2025.10.15,진행중
서울올림픽기념국민체육진흥공단 건강운동관리사(전임직) 채용 공고,서울올림픽기념국민체육진흥공단,경영.회계.사무/이용.숙박.여행.오락.스포츠,무기계약직,아니오,신입+경력,2025.10.01~2025.10.15,학력무관,광주,1명,https://kspo.or.kr/kspo/singl/empmn/view.do?empmnId=707&menuNo=200186&pageIndex=1,2025.10.01,2025.10.15,진행중
대한적십자사 인천사할린동포복지회관 직원(간호사) 채용 공고,대한적십자사,사회복지.종교,무기계약직,아니오,신입+경력,2025.10.01~2025.10.16,학력무관,인천,1명,<!--ENCRYPTED_CLIPDATA-->XyX4KZkYV9MdqPshgjVWnltvW+z7PCHKewtway29981ZovZAeMEytszNat18u8ODZvjOOcW+n/P0RD4I/yHQZztbwi61NMa3RgYUDE4tscRZcoOSODfRlykz8QE3EtnxbHcMGZvwYGQtiFUZNG5wGc+wvB+udFpVQZeAzbZnMLEQ45FIuST5a2ItY/VyFUWSj9YOZDe8a3FdEsmYnIwDZ/RO3jiD28pAcbeMra,2025.10.01,2025.10.16,진행중
국립암센터 부속병원 당직전담의사 초빙공고,국립암센터,보건.의료,비정규직,아니오,신입+경력,2025.10.01~2025.10.16,대졸(4년),경기,3명,https://ncc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230516,2025.10.01,2025.10.16,진행중
2025년 10월 충북대학교병원 기간제근무자 모집 공고,충북대학교병원,보건.의료,비정규직,예,신입+경력,2025.10.01~2025.10.15,학력무관,충북,6명,https://cbnuh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230107,2025.10.01,2025.10.15,진행중
